incident,goal,assets,solutions
TrickBot has used macros in Excel documents to download and deploy the malware on the user’s machine.,confidentiality,application software,disable macros
SombRAT has the ability to use an embedded SOCKS proxy in C2 communications.,confidentiality,networks,network segmentation and filtering
Silent Librarian has exfiltrated entire mailboxes from compromised accounts.,confidentiality,email accounts,data loss prevention
Azorult can collect a list of running processes by calling CreateToolhelp32Snapshot.,confidentiality,running processes,endpoint detection and response
SeaDuke is capable of executing commands.,confidentiality,running processes,endpoint detection and response
HOPLIGHT has the capability to harvest credentials and passwords from the SAM database.,confidentiality,authentication data,multifactor authentication
Kobalos's authentication and key exchange is performed using RSA-512.,confidentiality,authentication data,stronger key exchange algorithms
Duqu examines running system processes for tokens that have specific system privileges.,confidentiality,running processes,endpoint detection and response
"Messages can be forwarded to internal or external recipients, and there are no restrictions limiting the extent of this rule.",confidentiality,email accounts,data loss prevention
Machete malware used FTP for C2.,confidentiality,networks,network segmentation and filtering
BONDUPDATER can download or upload files from its C2 server.,confidentiality,users data,endpoint detection and response
"The malware operates on victims’ systems as a svchost-based service and is capable of downloading executables, changing its own configuration, updating its own binaries, terminating its own processes, and activating and terminating denial-of-service attacks",integrity,running processes,endpoint detection and response
Golden tickets enable adversaries to generate authentication material for any account in Active Directory.,confidentiality,authentication data,multifactor authentication
"BabyShark has used dir to search for ""programfiles"" and ""appdata"".",confidentiality,users data,access controls
OSInfo discovers the current domain information.,confidentiality,operating system,access controls
Pysa has extracted credentials from the password database before encrypting the files.,confidentiality,authentication data,multifactor authentication
Adversaries may abuse these functionalities to hide otherwise visible windows from users so as not to alert the user to adversary activity on the system.,confidentiality,running processes,endpoint detection and response
"Instead, an adversary can manipulate domain trusts to add their own signing certificate.",integrity,authentication data,access controls
Dragonfly 2.0 has used various forms of spearphishing in attempts to get users to open links.,confidentiality,email accounts,multifactor authentication
WINERACK can enumerate active windows.,confidentiality,running processes,application whitelisting
Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment.,confidentiality,authentication data,access controls
"Tasks or services contain other fields, such as a description, that adversaries may attempt to make appear legitimate.",confidentiality,application software,application whitelisting
"Similar to Process Hollowing, process doppelgänging involves replacing the memory of a legitimate process, enabling the veiled execution of malicious code that may evade defenses and detection.",integrity,running processes,endpoint detection and response
Certain methods of executing a program  rely solely on the PATH environment variable to determine the locations that are searched for a program when the path for the program is not given.,confidentiality,application software,application whitelisting
Programs that fall victim to path hijacking may appear to behave normally because malicious DLLs may be configured to also load the legitimate DLLs they were meant to replace.,integrity,application software,application whitelisting
CARROTBAT has the ability to download and execute a remote file via certutil.,confidentiality,running processes,application whitelisting
Information obtained could be used to gain an understanding of common software/applications running on systems within the network.,confidentiality,application software,network segmentation and filtering
PoisonIvy also creates a Registry entry modifying the Logical Disk Manager service to point to a malicious DLL dropped to disk.,integrity,operating system,endpoint detection and response
SharpStage  has been used to target Arabic-speaking users and used code that checks if the compromised machine has the Arabic language installed.,confidentiality,users data,endpoint detection and response
"The image is downloaded directly, and the shellcode is loaded and executed in memory",confidentiality,running processes,application whitelisting
Cadelspy has the ability to discover information about the compromised host.,confidentiality,running processes,endpoint detection and response
